Particle,x,y,z,Vx,Vy,Vz
26329,-0.015607,0.008376,-0.07461,0.0,0.0,0.0
27931,0.007452,-0.008062,-0.06837900000000001,0.0,0.0,0.0
24590,-0.0006969999999999999,0.009617,-0.074438,0.0,0.0,0.0
22917,-0.004925,0.012395,-0.07281699999999999,0.0,0.0,0.0
28493,0.008276,-0.007214000000000001,-0.06459000000000001,0.0,0.0,0.0
28260,-0.013199,-0.007543,-0.065326,0.0,0.0,0.0
21957,-0.004906,0.001511,-0.070325,0.0,0.0,0.0
25724,-0.002341,0.006613000000000001,-0.074942,0.0,0.0,0.0
19334,0.010955,0.004762,-0.070483,0.0,0.0,0.0
26416,0.006695,0.009406000000000001,-0.074788,0.0,0.0,0.0
28612,0.000214,-0.008432,-0.067745,0.0,0.0,0.0
28693,0.008989,0.000365,-0.061693,0.0,0.0,0.0
24910,0.007873,0.006396,-0.06461700000000001,0.0,0.0,0.0
24598,0.015105,0.012003999999999999,-0.07415000000000001,0.0,0.0,0.0
28751,0.004193,0.007986,-0.061508,0.0,0.0,0.0
27872,-0.010079000000000001,0.010654,-0.069287,0.0,0.0,0.0
28197,-0.001024,0.011642,-0.07385599999999999,0.0,0.0,0.0
25366,0.002786,-0.005466,-0.068502,0.0,0.0,0.0
28707,0.010317999999999999,-0.01079,-0.06625400000000001,0.0,0.0,0.0
24240,0.0007790000000000001,0.008592,-0.066482,0.0,0.0,0.0
19852,-0.004322,0.0028290000000000004,-0.061209000000000006,0.0,0.0,0.0
24492,0.00171,0.011718,-0.069366,0.0,0.0,0.0
28514,0.011706,-0.001992,-0.063935,0.0,0.0,0.0
28272,-0.000207,-0.004014,-0.05953,0.0,0.0,0.0
23600,0.014349,-0.000982,-0.072801,0.0,0.0,0.0
19079,-0.0023290000000000003,0.000397,-0.071092,0.0,0.0,0.0
27011,0.0030859999999999998,-0.0070869999999999995,-0.063404,0.0,0.0,0.0
28314,0.0036349999999999998,-0.004169,-0.061417,0.0,0.0,0.0
26325,0.014878,-0.005684,-0.066387,0.0,0.0,0.0
27246,-0.006175,-0.005898,-0.076299,0.0,0.0,0.0
28517,-0.008759000000000001,-0.007856,-0.076137,0.0,0.0,0.0
28643,0.00792,-0.00496,-0.059753,0.0,0.0,0.0
28261,-0.002932,-0.008912000000000002,-0.060222000000000005,0.0,0.0,0.0
27010,-0.016151,-0.002398,-0.072965,0.0,0.0,0.0
28320,0.007724999999999999,-0.009949,-0.06565800000000001,0.0,0.0,0.0
28651,0.008537000000000001,0.010931,-0.06651699999999999,0.0,0.0,0.0
24562,-0.008792999999999999,0.003978000000000001,-0.075488,0.0,0.0,0.0
28613,0.016232,-0.0077220000000000006,-0.06436199999999999,0.0,0.0,0.0
27543,0.017067,0.009336,-0.065103,0.0,0.0,0.0
27053,0.018463999999999998,0.011545999999999999,-0.072173,0.0,0.0,0.0
27251,-0.005875,0.009016,-0.068786,0.0,0.0,0.0
27286,-0.004335,0.009415,-0.06409699999999999,0.0,0.0,0.0
28333,0.00269,-0.000857,-0.077116,0.0,0.0,0.0
28539,0.017897,0.005176999999999999,-0.07193899999999999,0.0,0.0,0.0
28580,0.013004,-0.0019850000000000002,-0.058258000000000004,0.0,0.0,0.0
28285,0.001132,-0.006869,-0.076671,0.0,0.0,0.0
